date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-08-28,sz.002269,6.6855900000,7.0198695000,5.7050368000,5.9947457000,4.4035752800,43878468,1196254657.0200,2,78.354407,1,36.133600,0
2008-08-29,sz.002269,6.0170310000,6.2577122400,5.9702318700,6.1730281000,5.9947457000,13850281,379538565.7500,2,24.732645,1,2.974000,0
2008-09-01,sz.002269,6.2376554700,6.4315375800,6.0125739400,6.3401678500,6.1730281000,7906726,219924307.6400,2,14.119154,1,2.707600,0
2008-09-02,sz.002269,6.1685710400,6.2621693000,6.0950295500,6.1730281000,6.3401678500,3759666,104135693.1100,2,6.713689,1,-2.636200,0
2008-09-03,sz.002269,6.1061722000,6.1685710400,6.0170310000,6.0281736500,6.1730281000,2753083,74721822.0100,2,4.916220,1,-2.346600,0
2008-09-04,sz.002269,6.0170310000,6.1863992800,6.0103454100,6.1061722000,6.0281736500,1322281,35976462.8300,2,2.361216,1,1.293900,0
2008-09-05,sz.002269,5.7964065300,5.9925171700,5.7941780000,5.8833192000,6.1061722000,1772624,46947065.0500,2,3.165400,1,-3.649600,0
2008-09-08,sz.002269,5.8833192000,5.9078330300,5.3484720000,5.5044691000,5.8833192000,2378642,59251359.9700,2,4.247575,1,-6.439400,0
2008-09-09,sz.002269,5.4598985000,5.5000120400,5.3529290600,5.4376132000,5.5044691000,478310,11629697.8200,2,0.854125,1,-1.214600,0
2008-09-10,sz.002269,5.3484720000,5.5891532400,5.2816161000,5.5044691000,5.4376132000,738382,18158014.8200,2,1.318539,1,1.229500,0
2008-09-11,sz.002269,5.4041852500,5.5267544000,5.3930426000,5.4799552700,5.5044691000,542900,13303948.3100,2,0.969464,1,-0.445300,0
2008-09-12,sz.002269,5.3707573000,5.7941780000,5.3707573000,5.6827515000,5.4799552700,696281,17426216.7900,2,1.243359,1,3.700700,0
2008-09-16,sz.002269,5.5780105900,5.9056045000,5.5713250000,5.8610339000,5.6827515000,678436,17641674.3700,2,1.211493,1,3.137300,0
2008-09-17,sz.002269,5.8588053700,6.1106292600,5.8097777100,5.8966903800,5.8610339000,1122433,30105318.2500,2,2.004345,1,0.608400,0
2008-09-18,sz.002269,5.7406932800,5.9278898000,5.4665840900,5.9056045000,5.8966903800,1403105,35996993.0500,2,2.505545,1,0.151200,0
2008-09-19,sz.002269,6.2599407700,6.4961649500,6.1507428000,6.4961649500,5.9056045000,5795665,167279496.7100,2,10.349402,1,10.000000,0
2008-09-22,sz.002269,6.5073076000,6.8193018000,6.0950295500,6.5964488000,6.4961649500,4818342,140518897.4900,2,8.604182,1,1.543700,0
2008-09-23,sz.002269,6.1396001500,6.3201110800,5.9368039200,5.9368039200,6.5964488000,1655669,44706799.0000,2,2.956552,1,-10.000000,0
2008-09-24,sz.002269,5.6849800300,5.9301183300,5.4710411500,5.8231488900,5.9368039200,1084074,27949222.9000,2,1.935846,1,-1.914400,0
