date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,isST,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM
2008-08-28,sz.002269,6.6855900000,7.0198695000,5.7050368000,5.9947457000,4.4035752800,43878468,1196254657.0200,2,78.354407,1,0,36.133600,21.323893,35.149020,4.931094,165.676851
2008-08-29,sz.002269,6.0170310000,6.2577122400,5.9702318700,6.1730281000,5.9947457000,13850281,379538565.7500,2,24.732645,1,0,2.974000,21.958061,36.194344,5.077744,170.604044
2008-09-01,sz.002269,6.2376554700,6.4315375800,6.0125739400,6.3401678500,6.1730281000,7906726,219924307.6400,2,14.119154,1,0,2.707600,22.552593,37.174335,5.215228,175.223287
2008-09-02,sz.002269,6.1685710400,6.2621693000,6.0950295500,6.1730281000,6.3401678500,3759666,104135693.1100,2,6.713689,1,0,-2.636200,21.958061,36.194344,5.077744,170.604044
2008-09-03,sz.002269,6.1061722000,6.1685710400,6.0170310000,6.0281736500,6.1730281000,2753083,74721822.0100,2,4.916220,1,0,-2.346600,21.442799,35.345018,4.958591,166.600700
2008-09-04,sz.002269,6.0170310000,6.1863992800,6.0103454100,6.1061722000,6.0281736500,1322281,35976462.8300,2,2.361216,1,0,1.293900,21.720248,35.802347,5.022750,168.756346
2008-09-05,sz.002269,5.7964065300,5.9925171700,5.7941780000,5.8833192000,6.1061722000,1772624,46947065.0500,2,3.165400,1,0,-3.649600,20.927538,34.495692,4.839438,162.597356
2008-09-08,sz.002269,5.8833192000,5.9078330300,5.3484720000,5.5044691000,5.8833192000,2378642,59251359.9700,2,4.247575,1,0,-6.439400,19.579932,32.274379,4.527808,152.127071
2008-09-09,sz.002269,5.4598985000,5.5000120400,5.3529290600,5.4376132000,5.5044691000,478310,11629697.8200,2,0.854125,1,0,-1.214600,19.342119,31.882382,4.472814,150.279374
2008-09-10,sz.002269,5.3484720000,5.5891532400,5.2816161000,5.5044691000,5.4376132000,738382,18158014.8200,2,1.318539,1,0,1.229500,19.579932,32.274379,4.527808,152.127071
2008-09-11,sz.002269,5.4041852500,5.5267544000,5.3930426000,5.4799552700,5.5044691000,542900,13303948.3100,2,0.969464,1,0,-0.445300,19.492733,32.130646,4.507644,151.449582
2008-09-12,sz.002269,5.3707573000,5.7941780000,5.3707573000,5.6827515000,5.4799552700,696281,17426216.7900,2,1.243359,1,0,3.700700,20.214099,33.319703,4.674458,157.054264
2008-09-16,sz.002269,5.5780105900,5.9056045000,5.5713250000,5.8610339000,5.6827515000,678436,17641674.3700,2,1.211493,1,0,3.137300,20.848267,34.365027,4.821107,161.981457
2008-09-17,sz.002269,5.8588053700,6.1106292600,5.8097777100,5.8966903800,5.8610339000,1122433,30105318.2500,2,2.004345,1,0,0.608400,20.975101,34.574091,4.850437,162.966895
2008-09-18,sz.002269,5.7406932800,5.9278898000,5.4665840900,5.9056045000,5.8966903800,1403105,35996993.0500,2,2.505545,1,0,0.151200,21.006809,34.626358,4.857770,163.213255
2008-09-19,sz.002269,6.2599407700,6.4961649500,6.1507428000,6.4961649500,5.9056045000,5795665,167279496.7100,2,10.349402,1,0,10.000000,23.107490,38.088993,5.343547,179.534580
2008-09-22,sz.002269,6.5073076000,6.8193018000,6.0950295500,6.5964488000,6.4961649500,4818342,140518897.4900,2,8.604182,1,0,1.543700,23.464209,38.676988,5.426037,182.306126
2008-09-23,sz.002269,6.1396001500,6.3201110800,5.9368039200,5.9368039200,6.5964488000,1655669,44706799.0000,2,2.956552,1,0,-10.000000,21.117788,34.809289,4.883433,164.075513
2008-09-24,sz.002269,5.6849800300,5.9301183300,5.4710411500,5.8231488900,5.9368039200,1084074,27949222.9000,2,1.935846,1,0,-1.914400,20.713507,34.142895,4.789944,160.934428
2008-09-25,sz.002269,5.7674356400,5.9056045000,5.6849800300,5.7540644600,5.8231488900,1286610,33730634.5900,2,2.297518,1,0,-1.186400,20.467766,33.737832,4.733117,159.025141
2008-09-26,sz.002269,5.7941780000,5.7941780000,5.6136670700,5.6827515000,5.7540644600,777276,19814452.5000,2,1.387993,1,0,-1.239300,20.214099,33.319703,4.674458,157.054264
2008-10-06,sz.002269,5.6827515000,5.6827515000,5.6827515000,5.6827515000,5.6827515000,0,0.0000,2,,0,0,0.000000,20.214099,33.319703,4.674458,157.054264
2008-10-07,sz.002269,5.5267544000,5.8454341900,5.2481881500,5.7964065300,5.6827515000,871216,21365721.5800,2,1.555743,1,0,2.000000,20.618381,33.986097,4.767947,160.195349
2008-10-08,sz.002269,5.6426379600,5.7830353500,5.5445826400,5.5735535300,5.7964065300,146600,3721170.0000,2,0.261786,1,0,-3.844700,19.825672,32.679442,4.584635,154.036358
2008-10-09,sz.002269,5.7005797400,5.7005797400,5.4665840900,5.5713250000,5.5735535300,515068,12986687.5000,2,0.919764,1,0,-0.040000,19.817744,32.666375,4.582802,153.974769
2008-10-10,sz.002269,5.4821838000,5.5490397000,5.3261867000,5.4955549800,5.5713250000,735888,17816533.9500,2,1.314086,1,0,-1.360000,19.548223,32.222112,4.520475,151.880712
2008-10-13,sz.002269,5.3974996600,5.5891532400,5.3974996600,5.5156117500,5.4955549800,384594,9524351.1900,2,0.686775,1,0,0.365000,19.619567,32.339711,4.536974,152.435021
2008-10-14,sz.002269,5.7496074000,5.9056045000,5.5289829300,5.5713250000,5.5156117500,365380,9371218.6400,2,0.652464,1,0,1.010100,19.817744,32.666375,4.582802,153.974769
2008-10-15,sz.002269,5.6381809000,5.7117223900,5.3885855400,5.5289829300,5.5713250000,302310,7509859.7000,2,0.539839,1,0,-0.760000,19.667130,32.418111,4.547972,152.804560
2008-10-16,sz.002269,5.4554414400,5.4643555600,5.2348169700,5.2348169700,5.5289829300,602800,14550577.0000,2,1.076429,1,0,-5.320400,18.620753,30.693326,4.306000,144.674693
2008-10-17,sz.002269,5.2370455000,5.2816161000,5.0208780900,5.1278475300,5.2348169700,744846,17047412.4100,2,1.330082,1,0,-2.043400,18.240252,30.066132,4.218011,141.718377
2008-10-20,sz.002269,5.1256190000,5.3685287700,5.0320207400,5.3484720000,5.1278475300,175613,4153867.1500,2,0.313595,1,0,4.302500,19.025035,31.359720,4.399489,147.815778
2008-10-21,sz.002269,5.3484720000,5.4108708400,5.2593308000,5.3217296400,5.3484720000,292660,7034743.7300,2,0.522607,1,0,-0.500000,6.832043,26.976533,4.005109,10.314225
2008-10-22,sz.002269,5.3685287700,5.3841284800,5.1590469500,5.2325884400,5.3217296400,195913,4607883.1800,2,0.349845,1,0,-1.675000,6.717603,26.524664,3.938022,10.141458
2008-10-23,sz.002269,5.1657325400,5.3039014000,4.9027660000,5.1635040100,5.2325884400,412531,9428927.2000,2,0.736662,1,0,-1.320300,6.628913,26.174466,3.886030,10.007563
2008-10-24,sz.002269,5.1256190000,5.2793875700,5.1256190000,5.1768751900,5.1635040100,147119,3421249.7400,2,0.262713,1,0,0.259000,6.646079,26.242247,3.896093,10.033478
